File Name,God Lines,Too Many Parameters,Identifier Size,Function Length,Lazy Class,Function Chains,Large Class,Data Class,Middle Man,Cyclomatic Complexity
0006_canvascourse_instructor.py,1,0,0,0,0,3,0,0,0,0
0004_auto_20200904_0453.py,3,0,0,0,0,19,0,0,0,0
0008_event_type.py,1,0,0,0,0,2,0,0,0,0
0001_initial.py,0,0,0,0,0,24,0,0,0,0
0002_auto_20200822_2131.py,0,0,0,0,0,2,0,0,0,0
0010_auto_20211025_1714.py,1,0,0,0,0,4,0,0,0,0
0010_canvascourseregistration_registration_type.py,1,0,0,0,0,2,0,0,0,0
forms.py,0,0,0,0,1,12,0,0,0,0
utils.py,2,0,4,0,0,6,0,0,0,0
token_use.py,0,0,0,0,1,9,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
register_views.py,0,0,1,1,0,19,0,0,0,0
views.py,0,0,7,1,0,27,0,0,0,0
models.py,0,0,2,0,1,19,0,1,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
forms.py,0,0,11,0,3,32,0,0,0,0
middlewares.py,0,0,0,0,0,2,0,0,0,0
admin.py,0,0,0,0,1,2,0,0,0,0
tests.py,0,0,0,0,1,10,0,0,1,0
urls.py,0,0,0,0,0,4,0,0,0,0
views.py,0,0,0,1,2,16,0,0,0,0
0012_auto_20210420_2257.py,1,0,0,0,0,2,0,0,0,0
0005_myuser_student_number.py,0,0,0,0,0,2,0,0,0,0
0002_myuser_role.py,1,0,0,0,0,2,0,0,0,0
0010_auto_20201014_2059.py,0,0,0,0,0,4,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
0009_userconsent_user.py,1,0,0,0,0,2,0,0,0,0
0004_remove_myuser_tokens.py,0,0,0,0,1,1,0,0,0,0
0007_remove_myuser_student_number.py,0,0,0,0,1,1,0,0,0,0
0003_myuser_tokens.py,0,0,0,0,0,2,0,0,0,0
0008_userconsent.py,0,0,0,0,0,6,0,0,0,0
0011_auto_20210303_1331.py,1,0,0,0,0,2,0,0,0,0
0001_initial.py,6,0,0,0,0,16,0,0,0,0
0006_auto_20200516_1744.py,0,0,0,0,0,2,0,0,0,0
0014_auto_20210811_1303.py,0,0,0,0,0,4,0,0,0,0
0013_auto_20210608_1949.py,1,0,0,0,0,2,0,0,0,0
email_functions.py,0,0,0,0,1,12,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
decorators.py,0,0,0,0,0,1,0,0,0,0
models.py,0,0,0,0,0,0,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
apps.py,0,0,0,0,1,0,0,0,0,0
admin.py,0,0,0,0,0,0,0,0,0,0
permissions.py,0,9,0,0,10,7,0,0,0,0
pagination.py,0,0,0,0,1,0,0,0,0,0
tests.py,0,0,0,0,0,0,0,0,0,0
urls.py,0,0,0,0,0,30,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
user.py,0,0,0,0,1,0,0,0,0,0
event.py,0,0,0,0,1,0,0,0,0,0
answer.py,0,0,0,0,1,0,0,0,0,0
input_files.py,0,0,0,0,1,0,0,0,0,0
junit_template.py,0,0,0,0,1,0,0,0,0,0
first_name.py,0,0,0,0,1,0,0,0,0,0
course.py,0,0,0,0,1,0,0,0,0,0
course_registration.py,0,0,0,0,1,0,0,0,0,0
submission.py,0,0,0,0,1,0,0,0,0,0
question.py,0,0,0,0,1,0,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
difficulty.py,0,0,0,0,1,0,0,0,0,0
lines.py,0,0,0,0,1,0,0,0,0,0
activation.py,0,0,0,0,1,0,0,0,0,0
last_name.py,0,0,0,0,1,0,0,0,0,0
email.py,0,0,0,0,0,0,0,0,0,0
text.py,0,0,0,0,1,0,0,0,0,0
recaptcha.py,0,0,0,0,1,0,0,0,0,0
student_number.py,0,0,0,0,1,0,0,0,0,0
token_use.py,0,0,0,0,1,0,0,0,0,0
password.py,0,0,0,0,0,0,0,0,0,0
date.py,0,0,0,0,1,0,0,0,0,0
consent.py,0,0,0,0,1,0,0,0,0,0
visible_distractor_count.py,0,0,0,0,1,0,0,0,0,0
max_submission_allowed.py,0,0,0,0,1,0,0,0,0,0
category.py,0,0,0,0,1,0,0,0,0,0
schema.py,0,0,0,0,1,0,0,0,0,0
title.py,0,0,0,0,1,0,0,0,0,0
token_use_option.py,0,0,0,0,2,0,0,0,0,0
question_report.py,0,0,0,0,2,0,0,0,0,0
user_stats.py,0,0,0,0,1,2,0,0,0,0
change_password.py,0,0,0,0,1,8,0,0,0,0
event.py,0,0,0,0,1,9,0,0,0,0
java_question.py,3,0,0,0,5,6,0,0,0,0
register.py,0,0,0,0,1,10,0,0,0,0
course.py,0,0,0,0,2,19,0,0,0,0
user_consent.py,0,0,0,0,1,7,0,0,0,0
uqj.py,0,0,0,0,1,17,0,0,0,0
question.py,0,0,0,0,1,5,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
contact_us.py,0,0,0,0,1,4,0,0,0,0
multiple_choice_question.py,0,0,0,0,5,7,0,0,0,0
action.py,0,0,0,0,2,0,0,0,0,0
update_profile.py,0,0,0,0,1,5,0,0,0,0
token_value.py,0,0,0,0,2,2,0,0,0,0
utils.py,0,0,0,0,0,1,0,0,0,0
token_use.py,0,0,0,0,2,0,0,0,0,0
canvas_course_registration.py,0,0,0,0,1,4,0,0,0,0
faq.py,0,0,0,0,2,0,0,0,0,0
parsons_question.py,1,0,0,0,5,6,0,0,0,0
reset_password.py,0,0,0,0,1,10,0,0,0,0
question_category.py,0,0,0,0,2,1,0,0,0,0
auth.py,0,0,0,0,0,3,0,0,0,0
question_report.py,0,0,0,0,0,4,0,0,0,0
user_stats.py,0,0,0,0,0,2,0,0,0,0
change_password.py,0,0,0,0,1,1,0,0,0,0
event.py,0,0,0,0,0,8,0,0,0,0
java_question.py,0,0,0,0,0,3,0,0,1,0
course_admin.py,0,0,1,0,0,13,0,0,0,0
register.py,0,0,0,0,0,7,0,0,0,0
course.py,1,2,5,3,0,39,1,0,0,1
uqj_update.py,0,0,0,0,0,3,0,0,0,0
user_consent.py,0,0,0,0,0,2,0,0,0,0
uqj.py,0,0,0,0,2,4,0,0,0,0
submission.py,0,0,2,0,0,14,0,0,0,0
question.py,1,0,0,0,0,14,0,0,0,0
__init__.py,0,0,0,0,0,0,0,0,0,0
